[2025-04-29 14:02:20] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 8764 (Threshold: 100)
[2025-04-29 14:02:25] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 8420 (Threshold: 100)
[2025-04-29 14:02:31] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7610 (Threshold: 100)
[2025-04-29 14:02:37] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7588 (Threshold: 100)
[2025-04-29 14:02:43] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7324 (Threshold: 100)
[2025-04-29 14:02:49] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7635 (Threshold: 100)
[2025-04-29 14:02:55] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 8969 (Threshold: 100)
[2025-04-29 14:06:15] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 8209 (Threshold: 100)
[2025-04-29 14:06:21] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7818 (Threshold: 100)
[2025-04-29 14:06:26] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 9406 (Threshold: 100)
[2025-04-29 14:06:32] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 11732 (Threshold: 100)
[2025-04-29 14:06:38] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 10191 (Threshold: 100)
[2025-04-29 14:06:44] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 10479 (Threshold: 100)
[2025-04-29 14:06:50] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 9628 (Threshold: 100)
[2025-04-29 14:06:56] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 8083 (Threshold: 100)
[2025-04-29 14:07:02] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 9031 (Threshold: 100)
